ticker,datetime,datetime_int,open,close,high,low,volumn
AAPL,2021-11-17 05:56,1637146560000,150.98,150.98,150.98,150.98,548
AAPL,2021-11-17 05:59,1637146740000,150.96,150.96,150.96,150.96,161
AAPL,2021-11-17 06:06,1637147160000,150.95,150.95,150.95,150.95,280
AAPL,2021-11-17 06:25,1637148300000,150.95,150.95,150.95,150.95,428
AAPL,2021-11-17 06:26,1637148360000,151,151,151,151,1630
AAPL,2021-11-17 06:27,1637148420000,150.95,150.95,150.95,150.95,1067
AAPL,2021-11-17 06:32,1637148720000,150.99,151,151,150.99,1490
AAPL,2021-11-17 06:38,1637149080000,151,151.01,151.01,151,2138
AAPL,2021-11-17 06:40,1637149200000,151.01,151.01,151.01,151.01,392
AAPL,2021-11-17 06:43,1637149380000,151.01,151.01,151.01,151.01,530
AAPL,2021-11-17 06:45,1637149500000,150.93,150.93,150.93,150.93,534
AAPL,2021-11-17 06:49,1637149740000,151,151,151,151,205
AAPL,2021-11-17 06:50,1637149800000,151,151,151,151,569
AAPL,2021-11-17 06:54,1637150040000,151.01,151.01,151.01,151.01,341
AAPL,2021-11-17 06:55,1637150100000,151.01,151.01,151.01,151.01,273
AAPL,2021-11-17 06:56,1637150160000,151,151,151,151,282
AAPL,2021-11-17 06:58,1637150280000,151.01,151.01,151.01,151.01,887
AAPL,2021-11-17 06:59,1637150340000,151.06,151.06,151.06,151.06,396
AAPL,2021-11-17 07:00,1637150400000,151.06,151.06,151.06,151.06,1152
AAPL,2021-11-17 07:01,1637150460000,151.05,151.09,151.09,151.05,1685
AAPL,2021-11-17 07:02,1637150520000,151.09,151.09,151.09,151.09,312
AAPL,2021-11-17 07:03,1637150580000,151.09,151.13,151.13,151.06,1230
AAPL,2021-11-17 07:04,1637150640000,151.14,151.14,151.15,151.14,5817
AAPL,2021-11-17 07:05,1637150700000,151.16,151.11,151.16,151.11,2150
AAPL,2021-11-17 07:06,1637150760000,151.1,151.1,151.14,151.1,2332
AAPL,2021-11-17 07:07,1637150820000,151.1,151.15,151.15,151.1,1154
AAPL,2021-11-17 07:08,1637150880000,151.14,151.16,151.16,151.13,2692
