,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994,2021-12-02 21:06:00,166.72892818602998,163.37453265757966,164.31701123597517,166.72892818602998,166.72892818602998,-2.8834674817277777,-2.8834674817277777,-2.8834674817277777,-2.8834674817277777,-2.8834674817277777,-2.8834674817277777,0.0,0.0,0.0,163.84546070430218
1995,2021-12-02 21:07:00,166.72267782916285,163.38656678027186,164.33580417736607,166.72267782916285,166.72267782916285,-2.871119515035515,-2.871119515035515,-2.871119515035515,-2.871119515035515,-2.871119515035515,-2.871119515035515,0.0,0.0,0.0,163.85155831412735
1996,2021-12-02 21:08:00,166.71642747229572,163.3569369939763,164.34685640047567,166.71642747229572,166.71642747229572,-2.8587509561445508,-2.8587509561445508,-2.8587509561445508,-2.8587509561445508,-2.8587509561445508,-2.8587509561445508,0.0,0.0,0.0,163.85767651615117
1997,2021-12-02 21:09:00,166.7101771154286,163.4120040223012,164.36839076852428,166.7101771154286,166.7101771154286,-2.8463644517605715,-2.8463644517605715,-2.8463644517605715,-2.8463644517605715,-2.8463644517605715,-2.8463644517605715,0.0,0.0,0.0,163.86381266366803
1998,2021-12-02 21:10:00,166.7039267585615,163.39755909765358,164.35555914308696,166.7039267585615,166.7039267585615,-2.8339626555282718,-2.8339626555282718,-2.8339626555282718,-2.8339626555282718,-2.8339626555282718,-2.8339626555282718,0.0,0.0,0.0,163.86996410303323
1999,2021-12-02 21:11:00,166.69767640169437,163.3707935839431,164.37542891090942,166.69767640169437,166.69767640169437,-2.821548227386674,-2.821548227386674,-2.821548227386674,-2.821548227386674,-2.821548227386674,-2.821548227386674,0.0,0.0,0.0,163.8761281743077
2000,2021-12-02 21:12:00,166.69142604482727,163.4032244885216,164.36169346430202,166.69142604482727,166.69142604482727,-2.809123832555527,-2.809123832555527,-2.809123832555527,-2.809123832555527,-2.809123832555527,-2.809123832555527,0.0,0.0,0.0,163.88230221227175
2001,2021-12-02 21:13:00,166.68517568796014,163.40584691487584,164.3493673320958,166.68517568796014,166.68517568796014,-2.7966921409726795,-2.7966921409726795,-2.7966921409726795,-2.7966921409726795,-2.7966921409726795,-2.7966921409726795,0.0,0.0,0.0,163.88848354698746
2002,2021-12-02 21:14:00,166.67892533109298,163.4270130697006,164.40354310767717,166.67892533109298,166.67892533109298,-2.784255826368337,-2.784255826368337,-2.784255826368337,-2.784255826368337,-2.784255826368337,-2.784255826368337,0.0,0.0,0.0,163.89466950472465
2003,2021-12-02 21:15:00,166.67267497422588,163.4482002234576,164.3700605208227,166.67267497422588,166.67267497422588,-2.771817565463664,-2.771817565463664,-2.771817565463664,-2.771817565463664,-2.771817565463664,-2.771817565463664,0.0,0.0,0.0,163.90085740876222
2004,2021-12-02 21:16:00,166.66642461735876,163.4241778403243,164.39744104415755,166.66642461735876,166.66642461735876,-2.759380037391309,-2.759380037391309,-2.759380037391309,-2.759380037391309,-2.759380037391309,-2.759380037391309,0.0,0.0,0.0,163.90704457996745
2005,2021-12-02 21:17:00,166.66017426049166,163.4166810580858,164.3464093844092,166.66017426049166,166.66017426049166,-2.7469459226774156,-2.7469459226774156,-2.7469459226774156,-2.7469459226774156,-2.7469459226774156,-2.7469459226774156,0.0,0.0,0.0,163.91322833781425
2006,2021-12-02 21:18:00,166.65392390362453,163.44278643186416,164.39725309298575,166.65392390362453,166.65392390362453,-2.7345179024656465,-2.7345179024656465,-2.7345179024656465,-2.7345179024656465,-2.7345179024656465,-2.7345179024656465,0.0,0.0,0.0,163.91940600115888
2007,2021-12-02 21:19:00,166.6476735467574,163.45863777912726,164.42023089410577,166.6476735467574,166.6476735467574,-2.722098657916035,-2.722098657916035,-2.722098657916035,-2.722098657916035,-2.722098657916035,-2.722098657916035,0.0,0.0,0.0,163.92557488884137
2008,2021-12-02 21:20:00,166.64142318989028,163.45537667948713,164.39413234157328,166.64142318989028,166.64142318989028,-2.7096908691266988,-2.7096908691266988,-2.7096908691266988,-2.7096908691266988,-2.7096908691266988,-2.7096908691266988,0.0,0.0,0.0,163.9317323207636
2009,2021-12-02 21:21:00,166.63517283302315,163.4592667093868,164.43556335562835,166.63517283302315,166.63517283302315,-2.6972972145876057,-2.6972972145876057,-2.6972972145876057,-2.6972972145876057,-2.6972972145876057,-2.6972972145876057,0.0,0.0,0.0,163.93787561843556
2010,2021-12-02 21:23:00,166.62267211928892,163.47189176396168,164.4213090334515,166.62267211928892,166.62267211928892,-2.6725630081698344,-2.6725630081698344,-2.6725630081698344,-2.6725630081698344,-2.6725630081698344,-2.6725630081698344,0.0,0.0,0.0,163.95010911111908
2011,2021-12-02 21:24:00,166.6164217624218,163.45988333756017,164.44521574640618,166.6164217624218,166.6164217624218,-2.6602277971954527,-2.6602277971954527,-2.6602277971954527,-2.6602277971954527,-2.6602277971954527,-2.6602277971954527,0.0,0.0,0.0,163.95619396522633
2012,2021-12-02 21:25:00,166.61017140555467,163.48718039745256,164.47779553078965,166.61017140555467,166.61017140555467,-2.647917400424304,-2.647917400424304,-2.647917400424304,-2.647917400424304,-2.647917400424304,-2.647917400424304,0.0,0.0,0.0,163.96225400513038
